date,open,max,min,close
11.02.2010,1103.55000,1109.80000,1101.09000,1108.75000
12.02.2010,1108.93000,1128.47000,1108.18000,1125.70000
13.02.2010,1127.40000,1133.13000,1118.22000,1124.45000
14.02.2010,1122.70000,1129.04000,1118.04000,1125.91000
15.02.2010,1126.10000,1126.82000,1101.38000,1106.64000
16.02.2010,1103.60000,1108.65000,1092.41000,1101.88000
17.02.2010,1101.92000,1107.84000,1094.39000,1103.18000
18.02.2010,1104.50000,1105.02000,1085.05000,1086.63000
19.02.2010,1086.65000,1095.65000,1086.28000,1089.08000
20.02.2010,1089.06000,1109.13000,1088.91000,1107.10000
21.02.2010,1113.93000,1114.53000,1103.43000,1109.61000
22.02.2010,1109.65000,1113.22000,1101.56000,1103.33000
23.02.2010,1104.25000,1117.86000,1102.15000,1112.89000
24.02.2010,1113.22000,1127.69000,1111.45000,1126.50000
25.02.2010,1126.21000,1126.71000,1118.60000,1122.18000
26.02.2010,1120.90000,1133.15000,1119.80000,1131.58000
27.02.2010,1130.72000,1138.43000,1122.64000,1133.98000
28.02.2010,1134.40000,1152.90000,1132.30000,1149.04000
01.03.2010,1149.05000,1153.53000,1143.46000,1150.24000
02.03.2010,1150.68000,1164.37000,1149.29000,1161.54000
03.03.2010,1163.58000,1169.44000,1154.09000,1156.10000
04.03.2010,1155.45000,1156.98000,1145.05000,1150.37000
05.03.2010,1150.74000,1161.65000,1150.12000,1155.06000
06.03.2010,1154.73000,1161.21000,1150.12000,1158.79000
07.03.2010,1158.30000,1160.08000,1129.89000,1137.11000
08.03.2010,1133.70000,1137.78000,1123.78000,1135.50000
09.03.2010,1135.59000,1145.79000,1133.39000,1140.50000
10.03.2010,1139.43000,1150.23000,1137.65000,1146.40000
11.03.2010,1145.91000,1149.24000,1131.67000,1141.28000
12.03.2010,1141.25000,1157.56000,1134.82000,1157.37000
13.03.2010,1156.60000,1159.71000,1150.74000,1153.37000
14.03.2010,1153.54000,1172.40000,1146.35000,1167.57000
15.03.2010,1169.26000,1174.02000,1160.41000,1165.45000
16.03.2010,1165.20000,1170.98000,1162.09000,1166.60000
17.03.2010,1166.75000,1181.41000,1166.75000,1178.72000
18.03.2010,1179.45000,1187.44000,1176.28000,1182.04000
19.03.2010,1182.34000,1191.97000,1167.08000,1170.85000
20.03.2010,1171.05000,1176.33000,1157.62000,1174.71000
21.03.2010,1174.76000,1210.98000,1172.39000,1208.05000
22.03.2010,1207.10000,1213.13000,1192.88000,1207.87000
23.03.2010,1204.60000,1205.49000,1184.06000,1202.64000
24.03.2010,1199.82000,1234.13000,1199.82000,1232.33000
25.03.2010,1231.01000,1248.21000,1226.58000,1238.64000
26.03.2010,1237.23000,1242.88000,1227.31000,1232.51000
27.03.2010,1232.42000,1249.12000,1218.07000,1232.46000
