date,open,max,min,close,x,y
2010.03.04,1139.00000,1141.33000,1125.72000,1131.78000,2401,0
2010.03.05,1132.17000,1140.32000,1127.35000,1134.55000,2357,0
2010.03.08,1135.90000,1137.50000,1118.55000,1123.37000,2538,0
2010.03.09,1123.44000,1124.68000,1108.45000,1121.53000,3056,0
2010.03.10,1121.21000,1127.80000,1103.47000,1108.25000,3571,0
2010.03.11,1108.77000,1111.62000,1100.45000,1109.35000,2177,0
2010.03.12,1109.69000,1119.10000,1098.45000,1101.49000,3311,0
2010.03.15,1103.55000,1109.80000,1101.09000,1108.75000,1223,0
2010.03.16,1108.93000,1128.47000,1108.18000,1125.70000,2382,0
2010.03.17,1127.40000,1133.13000,1118.22000,1124.45000,2688,0
2010.03.18,1122.70000,1129.04000,1118.04000,1125.91000,1880,0
2010.03.19,1126.10000,1126.82000,1101.38000,1106.64000,3143,0
2010.03.22,1103.60000,1108.65000,1092.41000,1101.88000,3077,0
2010.03.23,1101.92000,1107.84000,1094.39000,1103.18000,2565,0
2010.03.24,1104.50000,1105.02000,1085.05000,1086.63000,2208,0
2010.03.25,1086.65000,1095.65000,1086.28000,1089.08000,1632,0
2010.03.26,1089.06000,1109.13000,1088.91000,1107.10000,2241,0
2010.03.29,1113.93000,1114.53000,1103.43000,1109.61000,1789,0
2010.03.30,1109.65000,1113.22000,1101.56000,1103.33000,1701,0
2010.03.31,1104.25000,1117.86000,1102.15000,1112.89000,2279,0
2010.04.01,1113.22000,1127.69000,1111.45000,1126.50000,1921,0
2010.04.02,1126.21000,1126.71000,1118.60000,1122.18000,1220,0
2010.04.05,1120.90000,1133.15000,1119.80000,1131.58000,1603,0
2010.04.06,1130.72000,1138.43000,1122.64000,1133.98000,2833,0
2010.04.07,1134.40000,1152.90000,1132.30000,1149.04000,2657,0
2010.04.08,1149.05000,1153.53000,1143.46000,1150.24000,1896,0
2010.04.09,1150.68000,1164.37000,1149.29000,1161.54000,1931,0
2010.04.12,1163.58000,1169.44000,1154.09000,1156.10000,2323,0
2010.04.13,1155.45000,1156.98000,1145.05000,1150.37000,1879,0
2010.04.14,1150.74000,1161.65000,1150.12000,1155.06000,1875,0
2010.04.15,1154.73000,1161.21000,1150.12000,1158.79000,1813,0
2010.04.16,1158.30000,1160.08000,1129.89000,1137.11000,3920,0
2010.04.19,1133.70000,1137.78000,1123.78000,1135.50000,2621,0
2010.04.20,1135.59000,1145.79000,1133.39000,1140.50000,1990,0
2010.04.21,1139.43000,1150.23000,1137.65000,1146.40000,1820,0
2010.04.22,1145.91000,1149.24000,1131.67000,1141.28000,3052,0
2010.04.23,1141.25000,1157.56000,1134.82000,1157.37000,2937,0
2010.04.26,1156.60000,1159.71000,1150.74000,1153.37000,1472,0
2010.04.27,1153.54000,1172.40000,1146.35000,1167.57000,3808,0
2010.04.28,1169.26000,1174.02000,1160.41000,1165.45000,2342,0
2010.04.29,1165.20000,1170.98000,1162.09000,1166.60000,1639,0
2010.04.30,1166.75000,1181.41000,1166.75000,1178.72000,1736,0
2010.05.03,1179.45000,1187.44000,1176.28000,1182.04000,1974,0
